0,1,2
instance-00001b15,instance-00001af4,"[41, 42, 5, 6]"
instance-00001b15,instance-0000171f,"[10, 11, 46, 47]"
instance-00001b15,instance-00001aaf,"[5, 6, 41, 42, 11, 47]"
instance-00001b15,instance-00001adf,"[10, 46]"
instance-00001b15,instance-000016a7,"[5, 6, 41, 10, 11, 42, 46, 47]"
instance-00001b15,instance-000016fe,"[5, 6, 41, 10, 11, 42, 46, 47]"
instance-00001b15,instance-00001abb,"[6, 10, 11, 42, 46, 47]"
instance-00001b15,instance-00001a40,"[41, 5]"
instance-00001b15,instance-00001707,"[10, 11, 46, 47]"
instance-00001b15,instance-00001ad0,"[41, 42, 5, 6]"
instance-00001b15,instance-00001a46,"[10, 46]"
instance-00001b15,instance-00001ac4,"[5, 6, 41, 42, 11, 47]"
instance-00001b15,instance-00001aca,"[10, 46]"
instance-00001b15,instance-000016f2,"[10, 11, 46, 47]"
instance-00001b15,instance-0000178b,"[5, 6, 41, 10, 11, 42, 46, 47]"
instance-00001b15,instance-0000168c,"[42, 11, 6, 47]"
instance-00001b15,instance-00001abe,"[10, 46]"
instance-00001b15,instance-000016c2,"[5, 6, 41, 10, 11, 42, 46, 47]"
instance-00001b15,instance-00001671,"[10, 11, 46, 47]"
instance-00001b15,instance-000016bf,"[41, 42, 5, 6]"
instance-00001b15,instance-00001689,"[10, 11, 46, 47]"
instance-00001b15,instance-00001686,"[42, 6]"
instance-00001b15,instance-00001ab8,"[41, 5]"
instance-00001b15,instance-000016b0,"[6, 10, 11, 42, 46, 47]"
instance-00001b15,instance-00001719,"[5, 6, 41, 10, 11, 42, 46, 47]"
instance-00001b15,instance-000016b3,"[10, 11, 46, 47]"
instance-00001b15,instance-0000165c,"[41, 42, 5, 6]"
instance-00001b15,instance-00001794,"[10, 11, 46, 47]"
instance-00001b15,instance-000016bc,"[10, 11, 46, 47]"
instance-00001b15,instance-00001aac,"[41, 42, 5, 6]"
instance-00001b15,instance-00001674,"[41, 42, 5, 6]"
instance-00001b15,instance-000016c5,"[10, 11, 46, 47]"
instance-00001b15,instance-00001a52,"[10, 46]"
instance-00001b15,instance-00001ac1,"[5, 6, 41, 42, 11, 47]"
instance-00001b15,instance-00001ab2,"[5, 6, 41, 42, 11, 47]"
instance-00001b15,instance-00001ab5,"[10, 46]"
instance-00001b15,instance-000016a4,"[41, 42, 5, 6]"
instance-00001b15,instance-0000178e,"[10, 11, 46, 47]"
instance-00001b18,instance-00001aa6,"[65, 34, 70, 24, 60, 29]"
instance-00001b18,instance-00001ad9,"[65, 34, 70, 24, 60, 29]"
instance-00001b18,instance-00001785,"[33, 69]"
